year,month,date_full,date_short,group,unit,inflation_deflator,real_total_wealth,real_wealth_share,real_wealth_per_unit_growth,real_wealth_per_unit,real_wealth_growth_rate_per_unit_to_previous_period,real_wealth_growth_factor_per_unit_indexed,real_wealth_growth_rate_per_unit_indexed,variance_real_wealth
1977,12,01/12/1977,Dec-77,Top 1%,adult,0.26332238,4.37E+12,0.223492868,0.036466602,2951278.991,0.036466602,1.036466602,0.036466602,20912824484
1977,12,01/12/1977,Dec-77,Top 10%-1%,adult,0.26332238,8.46E+12,0.432467315,0.05704589,634537.6244,0.05704589,1.05704589,0.05704589,966733830.4
1977,12,01/12/1977,Dec-77,Middle 40%,adult,0.26332238,6.54E+12,0.334206703,0.037059503,110332.069,0.037059503,1.037059503,0.037059503,29227770.26
1977,12,01/12/1977,Dec-77,Bottom 50%,adult,0.26332238,1.92E+11,0.009833115,0.030284372,2596.974718,0.030284372,1.030284372,0.030284372,16193.01073
1978,1,01/01/1978,Jan-78,Top 1%,adult,0.26442829,4.37E+12,0.222545569,0.03360547,2943132.082,0.03360547,1.03360547,0.03360547,20797525516
1978,1,01/01/1978,Jan-78,Top 10%-1%,adult,0.26442829,8.47E+12,0.431486858,0.056214993,634038.8427,0.056214993,1.056214993,0.056214993,965214615.1
1978,1,01/01/1978,Jan-78,Middle 40%,adult,0.26442829,6.60E+12,0.33613713,0.04459805,111134.09,0.04459805,1.04459805,0.04459805,29654237.07
1978,1,01/01/1978,Jan-78,Bottom 50%,adult,0.26442829,1.93E+11,0.009830452,0.031534307,2600.125353,0.031534307,1.031534307,0.031534307,16232.3251
1978,2,01/02/1978,Feb-78,Top 1%,adult,0.26533341,4.37E+12,0.221635818,0.032046039,2938691.693,0.032046039,1.032046039,0.032046039,20734817194
1978,2,01/02/1978,Feb-78,Top 10%-1%,adult,0.26533341,8.49E+12,0.43049973,0.05652777,634226.6006,0.05652777,1.05652777,0.05652777,965786357.5
1978,2,01/02/1978,Feb-78,Middle 40%,adult,0.26533341,6.66E+12,0.338003015,0.053116884,112040.403,0.053116884,1.053116884,0.053116884,30139877.64
1978,2,01/02/1978,Feb-78,Bottom 50%,adult,0.26533341,1.94E+11,0.00986144,0.037465799,2615.076502,0.037465799,1.037465799,0.037465799,16419.53889
1978,3,01/03/1978,Mar-78,Top 1%,adult,0.26686516,4.37E+12,0.220894017,0.030266839,2933625.521,0.030266839,1.030266839,0.030266839,20663387038
1978,3,01/03/1978,Mar-78,Top 10%-1%,adult,0.26686516,8.50E+12,0.429508303,0.055811142,633796.4138,0.055811142,1.055811142,0.055811142,964476643.9
1978,3,01/03/1978,Mar-78,Middle 40%,adult,0.26686516,6.72E+12,0.339787471,0.060400699,112815.3233,0.060400699,1.060400699,0.060400699,30558240.52
1978,3,01/03/1978,Mar-78,Bottom 50%,adult,0.26686516,1.94E+11,0.009810214,0.033757337,2605.728808,0.033757337,1.033757337,0.033757337,16302.36411
1978,4,01/04/1978,Apr-78,Top 1%,adult,0.26883399,4.38E+12,0.220413899,0.030294427,2933704.079,0.030294427,1.030294427,0.030294427,20664493720
1978,4,01/04/1978,Apr-78,Top 10%-1%,adult,0.26883399,8.51E+12,0.428524939,0.055716679,633739.7079,0.055716679,1.055716679,0.055716679,964304067.8
1978,4,01/04/1978,Apr-78,Middle 40%,adult,0.26883399,6.78E+12,0.341506315,0.068114934,113636.0356,0.068114934,1.068114934,0.068114934,31004469.76
1978,4,01/04/1978,Apr-78,Bottom 50%,adult,0.26883399,1.90E+11,0.009554858,0.009069162,2543.498838,0.009069162,1.009069162,0.009069162,15532.9966
1978,5,01/05/1978,May-78,Top 1%,adult,0.27067769,4.40E+12,0.220145217,0.033431743,2942637.404,0.033431743,1.033431743,0.033431743,20790534854
1978,5,01/05/1978,May-78,Top 10%-1%,adult,0.27067769,8.54E+12,0.427472719,0.057620486,634882.5508,0.057620486,1.057620486,0.057620486,967785123.6
1978,5,01/05/1978,May-78,Middle 40%,adult,0.27067769,6.86E+12,0.343154711,0.077852625,114672.0221,0.077852625,1.077852625,0.077852625,31572364.05
1978,5,01/05/1978,May-78,Bottom 50%,adult,0.27067769,1.84E+11,0.009227345,-0.02135849,2466.801718,-0.02135849,0.97864151,-0.02135849,14610.35083
1978,6,01/06/1978,Jun-78,Top 1%,adult,0.27234772,4.43E+12,0.219887295,0.038309419,2956526.307,0.038309419,1.038309419,0.038309419,20987255776
1978,6,01/06/1978,Jun-78,Top 10%-1%,adult,0.27234772,8.59E+12,0.426453439,0.061322049,637104.5744,0.061322049,1.061322049,0.061322049,974571275.1
1978,6,01/06/1978,Jun-78,Middle 40%,adult,0.27234772,6.94E+12,0.344729683,0.08918641,115877.8159,0.08918641,1.08918641,0.08918641,32239831.4
1978,6,01/06/1978,Jun-78,Bottom 50%,adult,0.27234772,1.80E+11,0.008929584,-0.047352495,2401.280222,-0.047352495,0.952647505,-0.047352495,13844.51824
1978,7,01/07/1978,Jul-78,Top 1%,adult,0.27372399,4.46E+12,0.219614078,0.044619864,2974494.935,0.044619864,1.044619864,0.044619864,21243135910
1978,7,01/07/1978,Jul-78,Top 10%-1%,adult,0.27372399,8.65E+12,0.425429222,0.066533076,640232.7193,0.066533076,1.066533076,0.066533076,984164941.5
